message,type,behavior,spam,problems_quant
"Empresa muito boa, mas deve ter um melhor olhar para as pessoas e cultura rotineira

Prós
Dinamismo do negócio, desafios para seu crescimento, benefícios para os funcionários (especialmente líderes)

Contras
Com o rápido crescimento dos últimos anos, muitas pessoas foram contratadas. E com isso tenho tido experiências negativas com a forma de trabalho de alguns managers, que vem com uma visão de atuação tendendo ao microgerenciamento e quase que negligenciando quase que totalmente a parte de cultura, clima do ambiente do time, e olhar para as pessoas (foco total nas entregas). Tendo postura de abraçar várias demandas sem alinhar e consultar o time sobre viabilidade. O que gera desgaste e frustração. Você tem que dar a sorte de entrar num time que não tenha líderes com essa visão. São experiências muito distintas e opostas dentro da mesma empresa.

Conselho à presidência
Reforçar a importancia da nossa cultura, que é necessário todos vivenciarem os principios diariamente, e não pensar neles apenas na avaliação anual. Também ter o olhar que não necessariamente a presencialidade vai fortalecer e melhorar esse contexto de cultura. A presencialidade pode ajudar, mas seria muito importante que o time de people atuasse de forma proativa reforçando e sondando como está o processo dos times, sobre o clima e percepção dos princípios culturais, o bem estar geral das pessoas no contexto que elas estão atuando.",worker,positive,0,1
"Sobrecarga, sem reconhecimento, remuneração de empresa pequena

Prós
A Matriz é bem interessante, tem academia, bom ar condicionado, restaurante com uns descontos interessantes, vaga para carro eletrico.
O melhor OnBoarding que ja fiz. Leva cerca de 3 semanas com palestras, cursos e atividades iterativas que REALMENTE agregam. No final tem um projeto que vc apresenta e explora as ferramentas internas.

Contras
Sobrecarga e jornada de trabalho excessiva fora do padrao de empresas de tecnologia (44h semanais).

Trabalho presencial retornando, a cada semestre a exigencia de presencialidade aumenta e o escritório nao da vazao. Transito de 1h no quarteirao da matriz, estacionamento e cadeiras de trabalho lotadas.

Os times reclamam de estarem sobrecarregados e nada muda.

Os funcionarios com melhores resultados nos ciclos de avaliacao frequentemente trabalham 10h+ no dia, algumas vezes depois das 22h.

Muita falta de reconhecimento. Funcionarios que cresceram na empresa desde Jr. e hj entregam resultados de un Sr nao recebem a devida promocao e reconhecimento e sao usados em comparacao com os outros de mesmo nivel de senioridade criando um resultado injusto.

Os outros Seniors e melhores funcionarios que entraram na equipe nos ultimos tempo nao ficaram nem 3 semanas e sairam apresentando as mesmas razoes: Todo esse esforco e carga de trabalho nao vale o salario proposto, falsa autonomia em que nao conseguimos dar andamento em topicos de melhoria importantes e ambiente desorganizado.


Conselho à presidência
Olhar e cuidar mais dos funcionarios. Existem diferentes perfis, nao é legal trabalhar 10h+ no dia e sair extremamente cansado e ainda sim estar distante das metas.",worker,negative,0,2
"Podia melhorar

Prós
Empresa inclusiva, salário acima do mínimo

Contras
Meta, ninguém é robô pra bater meta o tempo todo, é um trabalho onde se locomove muito e pega muito peso, todo dia tem líder chato que nunca executou o trabalho, enchendo o saco o dia inteiro pra bater meta, eles acham que as pessoas não cansam, é exploratório, ridículo. Sem contar o fato de que quando eu trabalhei lá havias carrinhos (pra executar o trabalho) quebrados, um quase bate na minha cara por estar com a alça solta, tem meta até pra bater o ponto no horário, como tantas pessoas vão bater o ponto às 5:45 em ponto?. Uma hora de almoço, sendo que eles determinam o último bipe pra 11:00 e o almoço é justamente às 11;00, é necessário guardar o material usado pra trabalhar, passar pelo portal com uma fila enorme e ir almoçar com uma fila enorme, pois só tem 2 horários de almoço, fora muiiiiiitas outras coisas.

Conselho à presidência
Coloquem na liderança pessoas que já exerceram o cargo em que elas vão liderar",worker,negative,0,2
"Excelente empresa

Prós
Tem ótimos salarios e beneficios, condizente para o tamanho de pressão e responsabilidade

Contras
Tudo muda o tempo todo, tem que ser muito resiliente e se adaptar bem a mudanças",worker,positive,0,0
"Nota 10

Prós
Muita bom a empresa. Recomendo bastante

Contras
Excelente! Todo suporte possivel pra quem é iniciante

Conselho à presidência
Legal",worker,positive,1,0
"Boa Empresa

Prós
Bom salario, benefício, bons equipamentos de trabalho

Contras
Modelo hibrido em cargos que facilmente podem ser tocados fora do escritório",worker,positive,0,1
"Excelente empresa, bom salario e bons beneficios
Gerente de produtos

Prós
Pessoas legais, cultura legal, experiencia bacana de trabalhar com pessoas cross america latina, bons produtos, empresa vitrine.

Contras
Tem um modo estranho de priorizar as coisas, um processo chamado porotajem, que apesar de funcionar não ajuda a priorizar as coisas pelas razões certas.

Conselho à presidência
Continuar o trabalho que já fazem.
Loja Test tem problemas como qualquer empresa, mas busca constantemente e incansavelmente melhorar.",worker,positive,0,1
"Ok, Mas..
Representante de envios 2

Prós
Alimentação no local é boa.
Alguns líderes realmente dão valor a sua produtividade.
Ambiente de trabalho inclusivo ao público LGBT+
Salário acima da média local.

Contras
Líderes preferem aqueles que se socializam mais e promovem estes, mesmo que não batam metas ou façam corpo mole, e é endemico da empresa.
Vale refeição de 210 não é atualizado a anos, visto que esse valor não sustenta a alimentação BASICA de alguém durante o mês.
Líderes não gostam de pessoas que tem mente crítica e logo mostram o que está errado no setor, quem não trabalha e oq poderia ser melhorado; pelo contrário, dão valor a gente que faz corpo mole, o famoso ""AMIGUISMO"".
Médico local não tem mínima idéia de medicina básica, deve ter feito telecurso só pode.

Conselho à presidência
Dêem valor a quem trabalha de verdade e parem de subir de cargo pessoas só pq são amigas da liderança. Isso vale principalmente aos empilhadeiristas do ET01. Preguiçosos, desatentos, lentos e mesmo assim recebem tanto quanto um PS, porém só passam a mão na cabeça deles.",worker,negative,0,3
"Salario OK
Analista pleno

Prós
Empresa com boas oportunidades de aprendizagem e com uma boa gama de ferramentas.

Contras
Salários discrepantes, quem tem mais tempo de casa está em uma faixa salarias mais baixa do que novos entrantes.

Conselho à presidência
Melhora na gestão como um todo é necessario ter um suporte maior ao longo do tempo, além de buscar uma equiparação salarial para evitar uma desmotivação do pessoal.",worker,any,0,1
"GOSTEI MUITO DO PRODUTO! TEM ÓTIMA QUALIDADE, E FACILITA MUITO A APLICAÇÃO DO GEL.",comment,positive,0,0
"Não compra este produto, pois o mesmo veio com os botões travados e ao tentar ligar o mesmo nem ligou. Péssima qualidade",comment,negative,0,1
Eu estou muito satisfeito com a compra. A entrega foi rápida e o produto é muito bom. Eu recomendo a todos!,comment,positive,0,0
O produto não é bom. O preço é muito alto e a qualidade é ruim. Eu não recomendo a ninguem,comment,negative,0,2
"Esse celular é espetacular até o momento não tenho o que reclamar, quem estiver querendo comprar eu recomendo. Mais uma vez estou muito satisfeito e quero agradecer a todos os envolvidos na logística do Loja test.",comment,positive,0,0
Produto excelente.,comment,positive,0,0
"Simplesmente lindíssimo, excelente produto, super resistente,podem comprar sem medo,já tô até querendo comprar outra 😍😍.",comment,positive,0,0
"Propaganda enganosa, não veio conforme o vídeo publicado, pedi a voltagem 110wt e mandaram voltagem 220wt. Loja despreparada para atender o cliente.",social,negative,0,1
"Os leds nao veio conexão um com o outro, vou ter que ligar um em cada tomada, frente da minha casa da 28 metros, vou ter que acabar comprando mais extensão, foi erro na discrição na venda do produto….",comment,negative,0,1
"Um dos produtos queimou ao ligar na tomada. Matéria-prima utilizada na confecção do material é de baixa qualidade, em especial os conectores dos fios. Não recomendo a compra.",comment,negative,0,1
